,seg,bu,platform,category,line,set,set id,cat 11
683,INT,PI,Oncology,ACUTE DRAINAGE,THORA-PARA,Product Set Lvl: THORA-PARA,PH230400041869,
684,INT,PI,Oncology,Diagnostic Trays,Trays,Product Set Lvl: Trays,PH230400041892,
685,INT,PI,Peripheral Vascular Disease,Peripheral Grafts,PV Grafts,PV Grafts,PH240113741072,
686,INT,PI,Peripheral Vascular Disease,PVD - PC Adjustment,PVD - PC Adjustment,PVD - PC Adjustment,PH240113741057,
687,INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,Ptfe Prefill (Hosp),PH240152141183,
688,INT,UCC,Total BD UCC Other,UCC Freight & Rebates,Urology and Critical Care - US Rebates,Rebates,PH240154141001,
689,INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Reliavac/Pvc Kits,PH240154141011,
690,INT,PI,Oncology,BIOPSY,Soft Tissue Adjustment,Soft Tissue Adjustment,PH240111041011,
691,INT,SUR,Surgery BU,DO NOT USE - Surgery Placeholder for data entry error,SUR Unknown Products,SUR Unknown Products,SUR_UNKNOWN_PRODUCT_PS,
692,INT,SUR,Surgery VH Non-Allocated,Surgery VH Non-Allocated - PC Adjustment,Surgery VH Non-Allocated - PC Adjustment,Surgery VH Non-Allocated - PC Adjustment,PH232000049999,
693,INT,SUR,Hernia,Ventral Synthetic Corporate Royalty,Synthetic Royalty,Synthetic Royalties,PH240131941000,
694,INT,UCC,Total Home Care Sales,Urology Home Care,Silicone Hydrophilic Coude,Silicone Hydrophilic Coude,PH240153141061,
695,INT,UCC,Targeted Temperature Management,TTM - Non-Sellable,TTM - Non-Sellable,TTM - Non-Sellable,PH240151141116,
696,INT,UCC,Targeted Temperature Management,TTM - PC Adjustment,TTM - PC Adjustment,TTM - PC Adjustment,PH240151141999,
697,INT,UCC,Urology and Critical Care BU,UCC - TIE OUT,UCC - TIE OUT,UCC - TIE OUT,PH240120049998,
698,INT,UCC,Total BD UCC Other,UCC Other,UCC Other,UCC Other,PH240154141079,
699,INT,UCC,Urology and Critical Care BU,DO NOT USE - UCC Placeholder for data entry error,UCC Unknown Products,UCC Unknown Products,UCC_UNKNOWN_PRODUCT_PS,
700,INT,UCC,Urology and Critical Care BU,Urology and Critical Care BU - PC Adjustment,Urology and Critical Care BU - PC Adjustment,Urology and Critical Care BU - PC Adjustment,PH240120049999,
701,INT,PI,Oncology,Vacuum Assisted,Vacora Capital Service,Vacora Capital Service,PH240111041121,
702,INT,UCC,Endourology,Stone Disposables,Stents,Stents,PH240152141253,
703,INT,UCC,Endourology,Stone Disposables,Stone Removal,Stone Removal,PH240152141262,
704,INT,SUR,Biosurgery,Surgical Sealants,Surgical Sealants,Surgical Sealants,PH240134241018,
705,INT,UCC,Total BD UCC Other,Womens Health,Surgical Treatments,Surgical Treatment Accessories,PH240154141070,
706,INT,SUR,Infection Prevention - Surgical,Hand Hygiene,Surgicept & Triseptin,Surgicept,PH230200041712,
707,INT,UCC,Total BD UCC Other,Temporary Pacing Electrodes,Temporary Pacing Electrodes,Temporary Pacing Electrodes,PH240154141076,
708,INT,PI,Peripheral Vascular Disease,Heart,True Valvuloplasty,True Valvuloplasty,PH240113741079,
709,INT,PI,Oncology,Markers,UltraClip Markers,UltraClip Markers,PH240111041110,
710,INT,PI,Peripheral Vascular Disease,PTA PVD,Ultraverse,Ultraverse,PH240113741074,
711,INT,SUR,Hernia,Ventral,Umbilical Ventral,Umbilical Ventral,PH240131941076,
712,INT,PI,BD PI Other,Peripheral Interventional Other,Angiomed Other,Univ. Adapter & Connectors,PH240110541014,
713,INT,UCC,Endourology,Stone Disposables,Ureterals,Ureterals,PH240152141263,
714,INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Urology Miscellaneous,PH240152141056,
715,INT,UCC,Endourology,Endourology Other,Urology Procedure Trays,Urology Procedure Trays,PH240152141264,
716,INT,PI,Oncology,Vacuum Assisted,Vacora Probes,Vacora Probes,PH240111041111,
717,INT,PI,Peripheral Vascular Disease,Venous,Venovo,Venovo,PH240113741082,
718,INT,PI,End Stage Kidney Disease,Endo AVF,WavelinQ Capital - Placement,WavelinQ Capital - Placement,PH240112141066,
719,INT,SUR,Hernia,Complex Abdominal Wall Reconstruction,Xenograft,Xenograft,PH240131941082,
720,INT,PI,BD PI Other,Peripheral Intervention Freight & Rebates,Peripheral Intervention - US Rebates,Rebates,PH240110541003,
721,INT,UCC,Total BD UCC Other,UCC Specialty - PC Adjustment,UCC Specialty - PC Adjustment,UCC Specialty - PC Adjustment,PH240154149999,
722,INT,UCC,Urology and Critical Care BU,Urology and Critical Care BU - Non-Sellable,Urology and Critical Care BU - Non-Sellable - NONCATALOG,Urology and Critical Care BU - Non-Sellable - NONCATALOG,PH240120041002,
723,INT,PI,BD PI Other,Feeding,Feeding,Peg (Initial and Accessories),PH240111041041,
724,INT,UCC,Total BD UCC Other,UCC Freight & Rebates,Freight,Freight,PH240154141000,
725,INT,UCC,Total Home Care Sales,Urology Home Care,Red Rubber,Bardia Red Rubber,PH240153141039,
726,INT,PI,BD PI Other,Peripheral Interventional Other,Peripheral Interventional Other,Peripheral Interventional Other,PH240110541089,
727,INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,2-Way Hematuria,PH240152141174,
728,INT,PI,BD PI Other,Non-Sellable,Non-Sellable,Non-Sellable,PH240110541093,
729,INT,PI,BD PI Other,Peripheral Interventional Other,Adjustments PT,Revenue Recognition PT,PH240110541006,
730,INT,PI,End Stage Kidney Disease,Other Surgical ESKD,Other Surgical,Adjustments Impra,PH240112141015,
731,INT,UCC,Total Home Care Sales,Home Care Sales - Non-Sellable,Home Care Sales - Non-Sellable - NONCATALOG,Home Care Sales - Non-Sellable - NONCATALOG,PH240153141075,
732,INT,SUR,Infection Prevention - Surgical,Infection Prevention - Surgical Non-Sellable,Infection Prevention - Surgical Non-Sellable,Infection Prevention - Surgical Non-Sellable,PH230200041696,
733,INT,PI,Oncology,IS Sales Adjustments,IS Sales Adjustments,IS Sales Adjustments,PH230400041895,
734,INT,PI,BD PI Other,OEM,Cardial Other,Misc Other,PH240110541068,
735,INT,SUR,Plastic & Reconstruction Surgery,Plastic & Reconstruction Surgery Non-Sellable,Plastic & Reconstruction Surgery Non-Sellable,Plastic & Reconstruction Surgery Non-Sellable,PH240132041002,
736,INT,SUR,Surgery BU,Surgery BU Non-Sellable,Surgery BU Non-Sellable,Surgery BU Non-Sellable,PH240130041001,
737,INT,UCC,Endourology,Endourology - Non-Sellable,Endourology - Non-Sellable - NONCATALOG,Endourology - Non-Sellable - NONCATALOG,PH240152241011,
738,INT,UCC,Targeted Temperature Management,TTM - Non-Sellable,TTM - Non-Sellable - NONCATALOG,TTM - Non-Sellable - NONCATALOG,PH240151141117,
739,INT,UCC,Total Home Care Sales,Home Care Sales - Non-Sellable,Home Care Sales - Non-Sellable,Home Care Sales - Non-Sellable,PH240153141074,
740,INT,UCC,Total Acute Urology,Acute Care - Non-Sellable,Acute Care - Non-Sellable - NONCATALOG,Acute Care - Non-Sellable - NONCATALOG,PH240152141280,
741,INT,UCC,Endourology,Endourology - Non-Sellable,Endourology - Non-Sellable,Endourology - Non-Sellable,PH240152241010,
742,INT,UCC,Endourology,Visualization,Image Processors,Image Processors,PH240152241002,
743,INT,UCC,Total Acute Urology,Acute Care - Non-Sellable,Acute Care - Non-Sellable,Acute Care - Non-Sellable,PH240152141279,
744,INT,SUR,Biosurgery,Biosurgery Non-Sellable,Biosurgery Non-Sellable,Biosurgery Non-Sellable,PH240134241026,
745,INT,UCC,Urology and Critical Care BU,Urology and Critical Care BU - Non-Sellable,Urology and Critical Care BU - Non-Sellable,Urology and Critical Care BU - Non-Sellable,PH240120041001,
746,INT,UCC,Total Acute Urology,Urological Drainage,Temp Sensing Latex Trays,Temp Mon U/M,PH240152141221,
747,INT,UCC,Total BD UCC Other,UCC Specialty - Non-Sellable,UCC Specialty - Non-Sellable,UCC Specialty - Non-Sellable,PH240154141080,
748,INT,SUR,Hernia,Groin Hernia,Groin Open,Adjustments Davol,PH240131941043,
749,INT,UCC,Total Acute Urology,Urological Drainage,Sensica Monitor Accessories,Sensica Accessories,PH240152141067,
750,INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,5cc Female,PH240152141179,
751,INT,PI,BD PI Other,Peripheral Interventional Other,Adjustments PT,Adjustments Peripheral Technol,PH240110541005,
752,INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,I/C Foley Tray,PH240152141096,
753,INT,SUR,Hernia,Hernia Non-Sellable,Hernia Non-Sellable,Hernia Non-Sellable,PH240131941087,
754,INT,UCC,Total Acute Urology,Urological Drainage,Other Collection Devices,Other Latex Free Tray with Bag,PH240152141189,
755,INT,UCC,Total Acute Urology,Urological Drainage,Sensica Trays,Sensica Add-A-Foley,PH240152141273,
756,INT,PI,BD PI Other,Peripheral Intervention Freight & Rebates,Peripheral Intervention Freight & Rebates,Peripheral Intervention Freight & Rebates,PH240110541085,
757,INT,UCC,Total Acute Urology,Urological Drainage,Temp Sensing Silicone Trays,Temp Mon U/M Silicone Trays,PH240152141223,
758,INT,SUR,Infection Prevention - Surgical,Other IP,Skin Prep Trays,Skin Prep Trays,PH230200041724,
759,INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,5cc Silic Coated,PH240152141137,
760,INT,PI,Oncology,Non-Sellable,Non-Sellable,Non-Sellable,PH240111041005,
761,INT,SUR,Infection Prevention - Surgical,IP Sales Adjustments,IP Sales Adjustments,IP Sales Adjustments,PH230200041714,
762,LS,IDS,Lab Specimen Management,Tubes - Hematology,PT EDTA,EDTA PLASTIC HEMO,PH210900141075,
763,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT SST,SST II PLASTIC HEMO,PH210900141103,
764,LS,IDS,Specimen Acquisition,Other Specimen Acquisition,Single Use Holders,ONE-USE NON-STACK,PH210900441224,
765,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT SST,SST PLASTIC HEMO,PH210900141105,
766,LS,IDS,Specimen Acquisition,Needles,Safety Needle Eclipse,Eclipse Needles,PH210900441251,
767,LS,IDS,Lab Specimen Management,Tubes - Coagulation,PT Citrate,CITRATE PLASTIC HEMO,PH210900141071,
768,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT PST,PST PLASTIC HEMO,PH210900141092,
769,LS,IDS,Specimen Acquisition,Needles,Other Needles,NEEDLES CONVENTIONAL,PH210900441248,
770,LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset SLBCS,SLBCS,PH210900441273,
771,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Serum,SERUM PLASTIC HEMO,PH210900141100,
772,LS,IDS,Lab Specimen Management,Urine,Bulk Tubes,BULK TUBES,PH210900141111,
773,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT SST,SST PLASTIC CONV,PH210900141104,
774,LS,IDS,Microbiology,Clinical Media,Plated Media - Clinical,Plated Media,PH211100441166,
775,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Heparin,HEPARIN PLASTIC HEMO,PH210900141082,
776,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Glucose,GLUCOSE PLASTIC HEMO,PH210900141078,
777,LS,IDS,Lab Specimen Management,Microtainer/Lancets,Safety Capillary Lancets,Lancet Cont Activate,PH210900441236,
778,LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset PBBCS,PBBCS,PH210900441264,
779,LS,IDS,Specimen Acquisition,Devices,Conv Direct Access All Other,LUER ADAPTERS,PH210900441213,
780,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT PST,PST II PLASTIC HEMO,PH210900141090,
781,LS,IDS,Specimen Acquisition,Devices,Safety Luer Lok Access,LUER-LOK ACCESS DEVICE,PH210900441217,
782,LS,IDS,Lab Specimen Management,Microtainer/Lancets,Capillary Microtainer,MICROTAINER NGMBT,PH210900141007,
783,LS,IDS,Specimen Acquisition,Needles,Needles Flashback,Needles Flashback,PH210900441243,
784,LS,IDS,Microbiology,Blood Culture,Blood Culture Reagents,BACTEC Plus,PH211100441225,
785,LS,IDS,Microbiology,Other Core Micro,Transport,OEM Swabs,PH211100441176,
786,LS,IDS,Lab Specimen Management,Urine,Collection Devices,COLLECTION DEVICES,PH210900141113,
787,LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset PBBCS UltraTouch,PBBCS UltraTouch,PH210900441268,
788,LS,IDS,Specimen Acquisition,Devices,Safety BTD,BTD,PH210900441214,
789,LS,IDS,Lab Specimen Management,CBP,Molecular PPT,PPT,PH210900241130,
790,LS,IDS,Lab Automation,Lab Automation,Lab Automation Consumables,Lab Automation Consumables,PH211146041015,
791,LS,IDS,Specimen Acquisition,Needles,Safety Needle Eclipse Pre-Attached,Eclipse Needles Pre-Attached,PH210900441253,
792,LS,IDS,Specimen Acquisition,Other Specimen Acquisition,Tourniquets & Swabs,TOURNIQUET NON-LATEX,PH210900441259,
793,LS,IDS,Microbiology,Industrial Microbiology,Plated Media - Industrial,Industrial Plates,PH211100441315,
794,LS,IDS,Cancer,Cytology,SurePath LBC Reagents,SurePath Other,PH211800041021,
795,LS,IDS,Specimen Acquisition,ABG,ABG Conventional,CC ABG Conventional,PH210900441205,
796,LS,IDS,Specimen Acquisition,Needles,Eclipse Signal Needle Pre-Attached,Eclipse Signal Needle Pre-Attached,PH210900441242,
797,LS,IDS,Lab Specimen Management,Urine,Transfer Straw Kits,TRANSFER STRAW KITS,PH210900141123,
798,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Serum,PT Serum,PH210900141097,
799,LS,IDS,Microbiology,Blood Culture,Blood Culture Reagents,BACTEC Lytic,PH211100441227,
800,LS,IDS,Specimen Acquisition,ABG,ABG Safety,Safety Critical Care,PH210900441207,
801,LS,IDS,Specimen Acquisition,ABG,ABG A-Line,CC ABG A-Line,PH210900541013,
802,LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,Calibrated Loops,PH211100441306,
803,LS,IDS,Microbiology,ID/AST,Phoenix Reagents,Phoenix Inoculum Broth,PH211100441252,
804,LS,IDS,Lab Specimen Management,Urine,Kit Complete,KIT COMPLETE,PH210900141120,
805,LS,IDS,Microbiology,ID/AST,Misc ID and AST,Phoenix Accessories,PH211100441274,
806,LS,IDS,Lab Specimen Management,Tubes - Chemistry,Barricor,Plasma Mech Sep,PH210900141025,
807,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Serum,SERUM PLASTIC CONV,PH210900141099,
808,LS,IDS,Lab Specimen Management,Tubes - Other,PT Other Plastic Tubes,SPC PLASTIC HEMO,PH210900141088,
809,LS,IDS,Microbiology,Clinical Media,Chromagar PM,CHROMagar Media,PH211100441172,
810,LS,IDS,Lab Specimen Management,Microtainer/Lancets,BD Sentry Lancets,Low Cost Lancet,PH210900441233,
811,LS,IDS,Molecular Diagnostics,BD COR,BD COR HPV Reagents,BD COR HPV Reagents,PH211800041041,
812,LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset SLBCS Pre-Attached,SLBCS Pre-Attached,PH210900441275,
813,LS,IDS,Molecular Diagnostics,ProbeTec/Viper,Viper LT HPV Reagents,Viper LT HPV Reagents,PH211800041035,
814,LS,IDS,Lab Specimen Management,Tubes - Other,PT Other Plastic Tubes,EST,PH210900141085,
815,LS,IDS,Microbiology,TB,TB Reagents,Auto MGIT Tubes - 7 ml,PH211100441203,
816,LS,IDS,Lab Specimen Management,Microtainer/Lancets,Microtainer Map,MICROTAINER MAP,PH210900141004,
817,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Rapid Serum Tube,Rapid Serum Tube,PH210900141095,
818,LS,IDS,Microbiology,Blood Culture,Blood Culture Reagents,BACTEC Peds,PH211100441226,
819,LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset PBBCS Pre-Attached,PBBCS Pre-Attached,PH210900441266,
820,LS,IDS,Microbiology,Clinical Media,Tubed Media - Clinical,Tubed/Bottled Media,PH211100441169,
821,LS,IDS,Specimen Acquisition,Other Specimen Acquisition,Reusable Holders,HOLDERS REUSABLE,PH210900441222,
822,LS,IDS,Lab Specimen Management,Tubes - Other,GT Other Glass Tubes,ACD GLASS CONV,PH210900141039,
823,LS,IDS,Molecular Diagnostics,ProbeTec/Viper,Sample Processing/Collection,Viper Sample Prep/Collection,PH211100141069,
824,LS,IDS,Specimen Acquisition,Devices,Safety KDL LLAD,Safety KDL LLAD,PH210900441221,
825,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Heparin,HEPARIN PLASTIC CONV,PH210900141081,
826,LS,IDS,Specimen Acquisition,Needles,Eclipse Signal Needle,Eclipse Signal Needle,PH210900441239,
827,LS,IDS,Lab Specimen Management,Microtainer/Lancets,Safety - Quickheel,Lancet Quikheel,PH210900441234,
828,LS,IDS,Lab Specimen Management,Tubes - Chemistry,GT Serum,SERUM GLASS CONV,PH210900141054,
829,LS,IDS,Microbiology,ID/AST,Phoenix Reagents,Phoenix AST Panel,PH211100441250,
830,LS,IDS,Lab Specimen Management,Tubes - Other,Other Tubes & Kits,SEDITUBES,PH210900141022,
831,LS,IDS,Microbiology,Clinical Media,Plated Media - Clinical,Plated Media Special Plates,PH211100441167,
832,LS,IDS,Microbiology,ID/AST,Phoenix Reagents,Phoenix Combo Panel,PH211100441249,
833,LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset PBBCS UltraTouch Pre-Attached,PBBCS UltraTouch Pre-Attached,PH210900441278,
834,LS,IDS,Microbiology,Other Core Micro,Transport,Culturette,PH211100441174,
835,LS,IDS,Microbiology,Other Core Micro,Anaerobics,Gaspak EZ Pouch,PH211100441181,
836,LS,IDS,Microbiology,Blood Culture,Blood Culture Other,Manual Blood Culture,PH211100441230,
837,LS,IDS,Lab Specimen Management,PAXgene,PAX Blood RNA,Pax Blood RNA,PH210900241134,
838,LS,IDS,Lab Specimen Management,Tubes - Coagulation,GT Citrate,CITRATE GLASS HEMO,PH210900141027,
839,LS,IDS,Microbiology,Blood Culture,Blood Culture Other,Other Blood Culture,PH211100441231,
840,LS,IDS,Specimen Management Other,Specimen Management Other,Specimen Management Other,PLUGGO,PH210900341186,
841,LS,IDS,Molecular Diagnostics,Affirm,Affirm Reagents,Affirm Transport,PH211100141048,
842,LS,IDS,Microbiology,Other Core Micro,Anaerobics,Gaspak EZ,PH211100441183,
843,LS,IDS,Microbiology,Industrial Microbiology,Plated Media - Industrial,Industrial Plates Custom,PH211100441316,
844,LS,IDS,Cancer,Cytology,FocalPoint Instr - FPU,FocalPoint FPU,PH211800041037,
845,LS,IDS,Lab Specimen Management,Tubes - Other,GT Other Glass Tubes,SRD GLASS HEMO,PH210900141049,
846,LS,IDS,Lab Specimen Management,Tubes - Chemistry,GT Serum,SERUM GLASS HEMO,PH210900141055,
847,LS,IDS,Microbiology,Blood Culture,Blood Culture Reagents,BACTEC Std,PH211100441224,
848,LS,IDS,Microbiology,Other Core Micro,Anaerobics,Supplies,PH211100441179,
849,LS,IDS,Molecular Diagnostics,BD COR,HPV Sample Collection,HPV Sample Collection,PH211100141153,
850,LS,IDS,Lab Specimen Management,Tubes - Hematology,PT EDTA,EDTA PLASTIC CONV,PH210900141074,
851,LS,IDS,Molecular Diagnostics,BD COR,BD COR Other Consumables,BD COR Other Consumables,PH211100141127,
852,LS,IDS,Microbiology,Industrial Microbiology,Liquid Media - Industrial,Industrial Bottled Media,PH211100441319,
853,LS,IDS,Lab Specimen Management,CBP,Molecular CPT,CPT,PH210900241125,
854,LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,RPR,PH211100441303,
855,LS,IDS,Molecular Diagnostics,BD MAX,MAX Other Consumables,MAX All Other Consumables,PH211100141100,
856,LS,IDS,Microbiology,Other Core Micro,Lab Reagents,Droppers,PH211100441194,
857,LS,IDS,Microbiology,ID/AST,Sensi Disc,Sensi Disc Cartridges,PH211100441259,
858,LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,Centrifuge - Other,PH211100441301,
859,LS,IDS,Lab Specimen Management,Tubes - Chemistry,GT Glucose,GLUCOSE GLASS HEMO,PH210900141034,
860,LS,IDS,Molecular Diagnostics,BD MAX,MAX Other Consumables,MAX Collection Kits,PH211100141150,
861,LS,IDS,Microbiology,Blood Culture,Blood Culture Reagents,BACTEC Myco,PH211100441228,
862,LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,Sterile Pak Swabs,PH211100441338,
863,LS,IDS,Lab Specimen Management,Tubes - Chemistry,GT Glucose,GLUCOSE GLASS CONV,PH210900141033,
864,LS,IDS,Microbiology,Clinical Media,Tubed Media - Clinical,Special Tube Media,PH211100441170,
865,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT PST,PST PLASTIC CONV,PH210900141091,
866,LS,IDS,Lab Specimen Management,Tubes - Other,GT Other Glass Tubes,SPS GLASS CONV,PH210900141048,
867,LS,IDS,Microbiology,Other Core Micro,Transport,Vacutainer,PH211100441175,
868,LS,IDS,Cancer,Cytology,SurePath LBC Reagents,SurePath Plus Kits,PH211800041024,
869,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT SST,SST II PLASTIC CONV,PH210900141102,
870,LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,251058-Falcon Dish 150X15Mm 10Pk 100Cs,PH211100441341,
871,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),352052-Tube 5mL 12x75mm R-btm no cap PS 1000cas,PH220020041169,
872,LS,IDS,Lab Specimen Management,Microtainer/Lancets,Capillary All Other,UNOPETTE,PH210900141002,
873,LS,IDS,Lab Specimen Management,Tubes - Other,GT Other Glass Tubes,ACD GLASS HEMO,PH210900141040,
874,LS,IDS,Lab Specimen Management,Tubes - Hematology,GT EDTA,EDTA GLASS CONV,PH210900141030,
875,LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,Lee Labs-Direct,PH211100441342,
876,LS,IDS,Lab Specimen Management,PAXgene,PAX Blood DNA,PAX Blood DNA,PH210900241132,
877,LS,IDS,Microbiology,TB,TB Reagents,1st Line Drugs,PH211100441373,
878,LS,IDS,Molecular Diagnostics,BD MAX,MAX Other Consumables,MAX Cartridges,PH211100141149,
879,LS,IDS,Lab Specimen Management,Tubes - Chemistry,GT Heparin,HEPARIN GLASS CONV,PH210900141037,
880,LS,BDB,Clinical Reagents,Open System HIV,Multitest HIV,Open System Multitest HIV - Multitest,PH220050041018,
881,LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,Sterile Dishes - Ind,PH211100441337,
882,LS,IDS,Microbiology,ID/AST,Phoenix Reagents,Phoenix ID Panel,PH211100441251,
883,LS,IDS,Microbiology,Blood Culture,Blood Culture Reagents,BACTEC Platelets,PH211100441376,
884,LS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),352054-ZDL-Tube 5mL 12x75mm R-btm PS 125pac 1000cas,PH220070041072,
885,LS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry),PH220080041088,
886,LS,BDB,Clinical Reagents,Cancer Reagents,Cancer,CAN Single Color,PH220020041105,
887,LS,BDB,SPA Options,SPA Options,SPA Options,BD Filcon,PH220020041180,
888,LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,Lactinex,PH211100441304,
889,LS,IDS,Specimen Management Other,Specimen Management Other,Specimen Management Other,All Other PAS,PH210900341162,
890,LS,BDB,Research Reagents,Research Core Sirigen,Sirigen - Immune Function (Flow Cytometry),Sirigen - Immune Function (Flow Cytometry),PH220080041094,
891,LS,IDS,Microbiology,ID/AST,Sensi Disc,Sensi Disc Specials,PH211100441258,
892,LS,BDB,Clinical Reagents,Fluids/QC Reagents,Fluids/QC Reagents,Instrument Fluids,PH220020041148,
893,LS,IDS,Lab Specimen Management,CBP,P800,P800,PH210900241153,
894,LS,IDS,Microbiology,Industrial Microbiology,Liquid Media - Industrial,Industrial Tubes,PH211100441318,
895,LS,IDS,Microbiology,TB,TB Reagents,TBcID,PH211100441375,
896,LS,IDS,Microbiology,ID/AST,Misc ID and AST,ID Test Dryslide,PH211100441276,
897,LS,BDB,Service,Technical Support Service,Time and Materials,Time and Materials,PH220030041027,
898,LS,IDS,Microbiology,Industrial Microbiology,Liquid Media - Industrial,Industrial Tubes Custom,PH211100441320,
899,LS,IDS,Lab Specimen Management,Tubes - Other,GT Other Glass Tubes,SPC GLASS CONV,PH210900141046,
900,LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,QC Slides,PH211100441309,
901,LS,IDS,Microbiology,Industrial Microbiology,DCM,Non-Selective Media,PH211100441327,
902,LS,IDS,Microbiology,Industrial Microbiology,Additives,Media Additives,PH211100441335,
903,LS,IDS,Microbiology,TB,TB Reagents,MycoPrep,PH211100441201,
904,LS,IDS,Lab Specimen Management,PAXgene,PAX Blood CCF,PAX Blood CCF,PH210900241131,
905,LS,IDS,Point of Care,Point of Care,Flu,Influenza A,PH211100341126,
906,LS,IDS,Microbiology,Other Core Micro,Lab Reagents,Stain Kits,PH211100441193,
907,LS,IDS,Microbiology,ID/AST,Phoenix Reagents,Phoenix Reagents,PH211100441253,
908,LS,IDS,Microbiology,ID/AST,BioTyper Reagents/Accessories,BioTyper Reagents/Accessories,PH211100441282,
909,LS,IDS,Lab Specimen Management,Urine,Cup Kits,CUP KITS,PH210900141115,
910,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),352054-Tube 5mL 12x75mm R-btm PS 125pac 1000cas,PH220020041169,
911,LS,IDS,Microbiology,Industrial Microbiology,Liquid Media - Industrial,Industrial Bottle Media Custom,PH211100441321,
912,LS,BDB,Research Reagents,Research Non-Core,Non-Flow Cytometry - Assays,Non-Flow Cytometry - Assays,PH220080041099,
913,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Glucose,GLUCOSE PLASTIC CONV,PH210900141077,
914,LS,IDS,Veritor Cov,Veritor Cov,COV19 Antigen (Veritor),COV19 Antigen (Veritor),PH211100841000,
915,LS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Support (Flow Cytometry),Non Sirigen - Support (Flow Cytometry),PH220080041089,
916,LS,IDS,Microbiology,TB,TB Reagents,MGIT Other Reagents,PH211100441199,
917,LS,IDS,Specimen Management Other,Specimen Management Other,Specimen Management Other,BioTransport (DDS),PH210900341166,
918,LS,IDS,Point of Care,Triplex Antigen,Triplex Antigen - POC,Triplex Antigen - POC,PH211100341136,
919,LS,BDB,Research Reagents,Sirigen OEM Dye Sales / Royalties,Sirigen OEM Dye Sales,Sirigen Brilliant Violet,PH220080041107,
920,LS,IDS,Microbiology,ID/AST,Sensi Disc,Sensi Disc Taxo Vials,PH211100441261,
921,LS,IDS,Lab Specimen Management,Tubes - Other,GT Other Glass Tubes,SPC GLASS HEMO,PH210900141047,
922,LS,IDS,Microbiology,TB,TB Reagents,Manual MGIT Tubes - 4 ml,PH211100441200,
923,LS,IDS,Lab Specimen Management,Tubes - Chemistry,GT Heparin,HEPARIN GLASS HEMO,PH210900141038,
924,LS,BDB,Clinical Reagents,Open System Controls,Process Controls,Open System Process Controls - Tritest,PH220050041014,
925,LS,IDS,Microbiology,ID/AST,Sensi Disc,Sensi Disc 3M Prompt,PH211100441265,
926,LS,IDS,Microbiology,Industrial Microbiology,DCM,Selective & Diff Media,PH211100441326,
927,LS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry),PH220080041096,
928,LS,IDS,Microbiology,Industrial Microbiology,DCM,Food/Dairy/Bev Media,PH211100441329,
