SEG,BU,Platform,Product Category,Product Line,Product Set ,Set ID,"Exemplar Product 
(Use)",,,
INT,SUR,Hernia,Ventral,Lap Ventral,Composix LP,PH240131941037,,,,Purewick device
INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Hickman,PH240112141005,,,,Purewick catheter
INT,PI,Oncology,Ports,Ports,Custom Ports,PH240111041018,,,,PowerPort
INT,PI,End Stage Kidney Disease,Other Surgical ESKD,Other Surgical,Patches,PH240112141017,,,,Powerport
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Kaiser Foley with Meter,PH240152141152,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Other Urology,Hand Help Temp/Miscellaneous,PH240152141197,,,,Purewick catheter
INT,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix ST with Echo,PH240131941011,,,,PowerPort
INT,UCC,Endourology,Stone Disposables,Dilation Products,Spiral Filiform,PH240152141008,,,,Plastipak
INT,UCC,Endourology,Stone Disposables,Balloons,Strt Filiform,PH240152141001,,,,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Kaiser Foley W/Bag,PH240152141151,,,,Purewick catheter
INT,PI,Peripheral Vascular Disease,Peripheral Grafts,PV Grafts,Distaflo,PH240113741001,,,,PowerPort
INT,SUR,Hernia,Ventral,Open Ventral,Ventrio,PH240131941040,,,,Purewick device
INT,PI,Oncology,Vacuum Assisted,Vacora Probes,Vacora 10G Needle,PH240111041066,,,,Safety LOK (Safety Wingset)
INT,SUR,Hernia,Fixation,Permanent Fixation,Permafix,PH240131941019,,,,PowerPort
INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Glidepath Slim,PH240112141050,,,,Purewick catheter
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Other Biopsy,PH240111041051,,,,Safety LOK (Safety Wingset)
INT,UCC,Endourology,Stone Disposables,Dilation Products,Straight Filform,PH240152141009,,,,Plastipak
INT,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat LX,PH240131941012,,,,PowerPort
INT,PI,Oncology,Brachy,Brachy Equipment,QuickLink,PH240154141058,,,,Safety LOK (Safety Wingset)
INT,PI,Peripheral Vascular Disease,Venous,Aspirex Catheters,Aspirex Catheters,PH240113741058,,,,Purewick catheter
INT,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,PH240111041057,,,,Pyxis
INT,PI,Oncology,Biopsy Needles and Accessories,Biopsy Needles and Accessories,Biopsy Needles and Accessories,PH240111041098,,,,Safety LOK (Safety Wingset)
INT,UCC,Total Acute Urology,Urological Drainage,Temp Sensing Latex Strips,Temp Sensing Strip Foley,PH240152141219,,,,PowerPort
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Crosser Catheters,Crosser Peripheral,PH240113741011,,,,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,I/C Add-A-Foley,Surestep IC Add-A-Foley,PH240152141088,,,,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Silicone Trays,Surestepcc Sil IC Temp Sensing,PH240152141135,,,,Purewick catheter
INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Ureteroscopic Accessories,PH240152141055,,,,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Silicone Catheters,Convatec HC Foley,PH240153141068,,,,Purewick catheter
INT,PI,Peripheral Vascular Disease,Stents PVD,Valeo,Valeo,PH240113741052,,,,PowerPort
INT,UCC,Total Home Care Sales,Urology Home Care,Biopsy - BMD,Monopty,PH240153141014,,,,PowerPort
INT,PI,Peripheral Vascular Disease,PTA PVD,UltraScore/Vascutrak,Vascutrak,PH240113741034,,,,PowerPort
INT,SUR,Biosurgery,Surgical Sealants,Surgical Sealants,Tridyne,PH240134241008,,,,Purewick device
INT,UCC,Endourology,Endourology Other,Urology Procedure Trays,Neph Drain Set,PH240152141058,,,,Purewick catheter
INT,UCC,Endourology,Stone Disposables,Percutaneous Drainage,Pezzers,PH240152141018,,,,Purewick catheter
INT,UCC,Total BD UCC Other,Airway,Specialty Tubes,Intestinal Tubes,PH240154141046,,,,Purewick canister & tubing
INT,UCC,Total Acute Urology,Urological Drainage,Sensica Cartridge,Sensica UM Cartridge,PH240152141065,,,,Purewick canister & tubing
INT,PI,End Stage Kidney Disease,Endo AVF,WavelinQ,WavelinQ 4 Fr,PH240112141044,,,,Powerport
INT,UCC,Total Acute Urology,Urological Drainage,Urine Meter Bags,Urine Meter without Bag,PH240152141239,,,,Purewick canister & tubing
INT,PI,Peripheral Vascular Disease,PTA PVD,BTK Master,BTK Master,PH240113741054,,,,PowerPort
INT,PI,End Stage Kidney Disease,Other Surgical ESKD,Other Surgical,Tunnelers,PH240112141020,,,,Powerport
INT,PI,BD PI Other,OEM,Virtual Bundles,Virtual Bundles,PH240110541067,,,,Powerport
INT,UCC,Total Acute Urology,Urological Drainage,Criticore Accessories,Surestep Cc Disp Urine Collect,PH240152141072,,,,Safety LOK (Safety Wingset)
INT,SUR,Infection Prevention - Surgical,Hair Removal,ClipVac,ClipVac Hardware,PH230200041705,,,,Veritor device
INT,UCC,Endourology,Stone Disposables,Percutaneous Drainage,Misc Surgical Drains,PH240152141014,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Critical Care Monitoring,Intra-Abdominal Pressure Kits,PH240152141068,,,,PowerPort
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy Capital,Magnum Capital,PH240111041047,,,,Safety LOK (Safety Wingset)
INT,PI,Peripheral Vascular Disease,Stents PVD,Lifestent,Lifestent Solo,PH240113741048,,,,PowerPort
INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,VAccess LT,PH240112141009,,,,Purewick catheter
INT,UCC,Total BD UCC Other,Temporary Pacing Electrodes,Temporary Pacing Electrodes,Zucker & Mylar Electrodes,PH240154141032,,,,Purewick device
INT,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix ST OVHR,PH240131941010,,,,PowerPort
INT,UCC,Targeted Temperature Management,Arctic Sun,Arctic Sun-Hardware,Arctic Sun-Hardware,PH240151141000,,,,Pyxis
INT,UCC,Endourology,Stone Disposables,Dilation Products,Heyman Filiforms,PH240152141005,,,,Plastipak
INT,UCC,Endourology,Stone Disposables,Ureterals,Wov Uret Cone,PH240152141040,,,,Purewick catheter
INT,SUR,Hernia,Hernia - PC Adjustment,Hernia - PC Adjustment,Hernia - PC Adjustment,PH240131949999,,,"BU confirms, accounting term",
INT,UCC,Endourology,Visualization,WiScopes,WiScopes,PH240152141245,,,,Purewick device
INT,UCC,Endourology,Stone Disposables,Dilation Products,Coude Filiform,PH240152141003,,,,Plastipak
INT,PI,BD PI Other,Feeding,Feeding,Buttons (Tubes and Accessories),PH240111041039,,,,Purewick catheter
INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Glidepath Retrograde,PH240112141049,,,,Purewick catheter
INT,UCC,Endourology,Stone Disposables,Dilation Products,Goodwin Sounds,PH240152141004,,,,Plastipak
INT,PI,Peripheral Vascular Disease,Peripheral Grafts,PV Grafts,Distaflo Mini-Cuff,PH240113741002,,,,PowerPort
INT,PI,Peripheral Vascular Disease,Venous,TIPS,Liverty,PH240113741086,,,,PowerPort
INT,PI,Oncology,Ports,Ports,Powerport VUE,PH240111041030,,,,PowerPort
INT,SUR,Hernia,Fixation,Absorbable Fixation,Optifix Open,PH240131941016,,,,Safety LOK (Safety Wingset)
INT,PI,BD PI Other,Electrophysiology Products,Conventional,Orbiter,PH240110541034,,,,Powerport
INT,SUR,Biosurgery,TissuePatch,TissuePatch,TissuePatch,PH240134241025,,,,Purewick catheter
INT,PI,Oncology,CHRONIC DRAINAGE,Denver Shunts,DENVER SHUNTS,PH230400041886,,,,Safety LOK (Safety Wingset)
INT,SUR,Hernia,Complex Abdominal Wall Reconstruction,Allograft Hernia,Allomax - Hernia,PH240131941002,,,,PowerPort
INT,PI,BD PI Other,Electrophysiology Products,Conventional,Electrode Modulars,PH240110541032,,,,Powerport
INT,UCC,Endourology,Stone Disposables,Ureterals,Wov Uret Spiral,PH240152141045,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,BladderScan,Bladderscan,PH240152141240,,,,PowerPort
INT,UCC,Total BD UCC Other,Airway,Open Suction Catheters,Mucous Spc Trap,PH240154141041,,,,Purewick canister & tubing
INT,SUR,Performance Irrigation and Other Surgery,Allograft Breast,Total Allograft Breast,Allomax - Breast,PH240130241019,,,,Purewick device
INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Other Chronic Dialysis,PH240112141006,,,,Purewick catheter
INT,UCC,Targeted Temperature Management,TTM Other,Arctic Sun-Accessories,Arctic Sun-Service,PH240151141114,,,"BU confirms, accounting term",
INT,PI,BD PI Other,OEM,PTFE OEM,PTFE OEM,PH240110541065,,,,Powerport
INT,SUR,Hernia,Complex Abdominal Wall Reconstruction,Xenograft,Xenmatrix - AB,PH240131941006,,,,PowerPort
INT,SUR,Performance Irrigation and Other Surgery,Performance Irrigation,Ortho AT,Suretrans Drains,PH240130241015,,,,PowerPort
INT,PI,End Stage Kidney Disease,Endo AVF,WavelinQ,WavelinQ Disposable,PH240112141052,,,,Powerport
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,Double Balloon,PH240152141182,,,,PowerPort
INT,UCC,Total BD UCC Other,Wound Drainage,Irrigation Products,Ear Syringes,PH240154141015,,,,Plastipak
INT,UCC,Total BD UCC Other,Temporary Pacing Electrodes,Temporary Pacing Electrodes,OEM Pacing Tpes,PH240154141030,,,,Purewick catheter
INT,PI,Oncology,Brachy,Brachy Accessories,Brachy Accessories,PH240154141051,,,,Safety LOK (Safety Wingset)
INT,UCC,Total Acute Urology,Urological Drainage,Sensica Trays,Sensica Temp Meter,PH240152141272,,,,Purewick catheter
INT,UCC,Endourology,Endourology Other,RF Technology,Cutting Loops,PH240152141021,,,,Plastipak
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Gloves,PH240153141002,,,,Purewick catheter
INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Ellik Reusable,PH240152141049,,,,Purewick catheter
INT,PI,BD PI Other,Electrophysiology Products,Conventional,Electrode Cables,PH240110541031,,,,Powerport
INT,PI,Oncology,Vacuum Assisted,EleVation Capital,Elevation - Capital,PH240111041091,,,,Pyxis
INT,SUR,Performance Irrigation and Other Surgery,Performance Irrigation,Ortho AT,Suretrans,PH240130241014,,,,PowerPort
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Crosser Catheters,Crosser iQ Catheters,PH240113741055,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Latex Trays,Surestep Ic Plus 350cc Um Tray,PH240152141125,,,,Purewick catheter
INT,UCC,Total BD UCC Other,Non-Bard,Non-Bard,Non-Bard,PH240154141002,,,Unknown BU cannot confirm,
INT,SUR,Biosurgery,Biosurgery - PC Adjustment,Biosurgery - PC Adjustment,Biosurgery - PC Adjustment,PH240134249999,,,"BU confirms, accounting term",
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Crosser Catheters,Crosser S-6,PH240113741012,,,,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Lubri-Sil I/C Trays W/Um,PH240152141106,,,,Purewick catheter
INT,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tube with Prevent,PH240154141035,,,,Purewick catheter
INT,SUR,Hernia,Complex Abdominal Wall Reconstruction,Xenograft,Xenmatrix - LX II,PH240131941008,,,,PowerPort
INT,SUR,Hernia,Complex Abdominal Wall Reconstruction,Xenograft,Xenmatrix,PH240131941005,,,,PowerPort
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Capital,Rotarex Capital,PH240113741061,,,,Purewick device
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Crosser Catheters,Crosser iQ Support Catheters,PH240113741096,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Other Urine Collection Devices,Lifemed Drainage Bags,PH240152141191,,,,Purewick canister & tubing
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Other Crosser,Usher,PH240113741018,,,,Purewick device
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Other Crosser,Sidekick,PH240113741017,,,,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,30cc Silic Coated,PH240152141136,,,,Purewick catheter
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Accessories,Rotarex Accessories,PH240113741060,,,,PowerPort
INT,PI,Oncology,Ports,Ports,Chronoflex Silk,PH240111041016,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Urine Meter Bags,Urine Meter Ureteral,PH240152141237,,,,Purewick canister & tubing
INT,PI,Oncology,Vacuum Assisted,Vacora Probes,Vacora Precision,PH240111041069,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Urethral Trays,Urethral W/Plastic,PH240152141233,,,,Purewick catheter
INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Toomey Access,PH240152141053,,,,Purewick catheter
INT,PI,Oncology,Vacuum Assisted,Encor Capital Service,Encor Capital Service,PH240111041059,,,"BU confirms, accounting term",
INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Wov Ureth,PH240152141057,,,,Purewick catheter
INT,UCC,Endourology,Stone Disposables,Ureterals,Wov Uret Round,PH240152141044,,,,Purewick catheter
INT,UCC,Endourology,Stone Disposables,Stone Removal,Lapides/Radiopaq,PH240152141031,,,,Purewick canister & tubing
INT,PI,Oncology,Vacuum Assisted,Finesse Capital,Finesse Capital,PH240111041065,,,,Veritor device
INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Silicone Trays,Surestep Sil Ic Tray W/UM,PH240152141132,,,,Purewick catheter
INT,PI,Peripheral Vascular Disease,Venous,Cones/Snares,Cones,PH240112141030,,,,PowerPort
INT,UCC,Endourology,Visualization,Image Processors - Aptra,Image Processors - Aptra,PH240152241008,,,,Purewick device
INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Misc Dilators,PH240152141052,,,,Purewick catheter
INT,SUR,Hernia,Complex Abdominal Wall Reconstruction,Xenograft,Xenmatrix - LX,PH240131941007,,,,PowerPort
INT,SUR,Surgery BU,Surgery BU - PC Adjustment,Surgery BU - PC Adjustment,Surgery BU - PC Adjustment,PH240130049999,,,"BU confirms, accounting term",
INT,SUR,Performance Irrigation and Other Surgery,Allograft Breast,Total Allograft Breast,Allomax - Breast LX,PH240130241020,,,,Purewick device
INT,UCC,Endourology,Stone Disposables,Ureterals,Wov Uret Olive,PH240152141043,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Bardex Foleys,PH240152141138,,,,PowerPort
INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Examin Products,PH240152141050,,,,Purewick catheter
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Other Crosser,Porter Guidewires,PH240113741016,,,,Purewick catheter
INT,PI,Oncology,Other Interventional Oncology,Caterpillar,Caterpillar 038 / 056,PH240111041084,,,,PowerPort
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Crosser Capital,Crosser Capital,PH240113741010,,,,Purewick device
INT,UCC,Total Acute Urology,Urological Drainage,Criticore Temp Sensing Sil Trays,Surestepcc Sil Disp Foley Tray,PH240152141076,,,,Purewick catheter
INT,UCC,Targeted Temperature Management,Arctic Sun,Arctic Sun-Hardware Placement,Arctic Sun-Hardware Placement,PH240151141009,,,,Pyxis
INT,UCC,Endourology,Stone Disposables,Stone Removal,Stone Basket,PH240152241003,,,,Purewick canister & tubing
INT,PI,Oncology,Other Interventional Oncology,Caterpillar,Caterpillar 027,PH240111041085,,,,PowerPort
INT,PI,End Stage Kidney Disease,Endo AVF,WavelinQ Capital,WavelinQ Capital,PH240112141043,,,,Pyxis
INT,PI,Oncology,Vacuum Assisted,EleVation Capital - Placement,Elevation - Capital - Placement,PH240111041126,,,,Purewick device
INT,PI,Oncology,Vacuum Assisted,Encor Capital - Placement,Encor Enspire Capital - Placement,PH240111041125,,,,Purewick device
INT,SUR,Hernia,Complex Abdominal Wall Reconstruction,Xenograft,Xen AB LX,PH240131941004,,,,PowerPort
INT,PI,Peripheral Vascular Disease,Venous,Venclose Captial,Venclose Capital,PH240113741094,,,,Purewick device
INT,UCC,Total Home Care Sales,Urology Home Care,Biopsy - BMD,Magnum Instrument - BPV,PH240153141010,,,,PowerPort
INT,SUR,Plastic & Reconstruction Surgery,Plastic & Reconstruction Surgery - PC Adjustment,Plastic & Reconstruction Surgery - PC Adjustment,Plastic & Reconstruction Surgery - PC Adjustment,PH240132041000,,,"BU confirms, accounting term",
INT,PI,Oncology,Other Biopsy,Other Biopsy Capital,Gamma Finders III Capital,PH240111041107,,,,Purewick device
INT,UCC,Endourology,Endourology Other,RF Technology,Resectors,PH240152141022,,,,Plastipak
INT,UCC,Endourology,Endourology Other,RF Technology,Roller Bar and Loops,PH240152141023,,,,Plastipak
INT,UCC,Total Acute Urology,Urological Drainage,Sensica Monitor,Sensica Monitor,PH240152141066,,,,Purewick device
INT,PI,Peripheral Vascular Disease,PTA PVD,Other PTA,Rival,PH240113741025,,,,PowerPort
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Adjustments Biopsy,PH240111041043,,,"BU confirms, accounting term",
INT,SUR,Hernia,Groin Hernia,Groin Open,Darts,PH240131941044,,,,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,Other Collection Devices,Other Latex Free Tray with Um,PH240152141190,,,,Purewick catheter
INT,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Ultra Capital,PH240111041058,,,,Pyxis
INT,UCC,Endourology,Stone Disposables,Percutaneous Drainage,Pezzar 3cm Flat,PH240152141017,,,,Purewick catheter
INT,SUR,Hernia,Ventral,Other Ventral Synthetic,Dulex,PH240131941023,,,,Purewick catheter
INT,PI,Oncology,CHRONIC DRAINAGE,Denver Shunts,BD Curve Ascites Shunt,PH230400041885,,,,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Latex Trays,Surestepcc Icplus W350cc UM TR,PH240152141126,,,,Purewick catheter
INT,SUR,Hernia,Ventral,Lap Ventral,Composix EX,PH240131941036,,,,Purewick device
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Capital - Placement,Rotarex Capital - Placement,PH240113741097,,,,Purewick device
INT,PI,Oncology,Vacuum Assisted,Vacora Probes,Vacora 14G Needle,PH240111041067,,,,Safety LOK (Safety Wingset)
INT,UCC,Total Acute Urology,PureWick Acute Care,PureWick Other,Purewick Other,PH240152141205,,,,Purewick catheter
INT,UCC,Endourology,Stone Disposables,Ureterals,Wov Uret Coude,PH240152141041,,,,Purewick catheter
INT,PI,Oncology,Brachy,Brachy Equipment,Micro Tool Equipment,PH240154141057,,,,Safety LOK (Safety Wingset)
INT,PI,Peripheral Vascular Disease,PTA PVD,Other PTA,BAS Adjustments in BPV,PH240113741019,,,"BU confirms, accounting term",
INT,PI,Peripheral Vascular Disease,Peripheral Grafts,PV Grafts,Dynaflo,PH240113741003,,,,PowerPort
INT,PI,Oncology,Other Biopsy,CoreLite Capital,CoreLite Capital,PH240111041106,,,,Pyxis
INT,PI,End Stage Kidney Disease,Other Surgical ESKD,Other Surgical,Shunts,PH240112141019,,,,Powerport
INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,Latex Free Tray W/Urine Meter,PH240152141209,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Sensica Trays,Sensica Temp Bag,PH240152141274,,,,Purewick canister & tubing
INT,PI,Peripheral Vascular Disease,Venous,Venclose Capital Service,Venclose Capital Service,PH240113741095,,,"BU confirms, accounting term",
INT,PI,Peripheral Vascular Disease,Heart,Lutonix Coronary,Lutonix Coronary,PH240113741038,,,,Powerport
INT,SUR,Hernia,Ventral,Other Ventral Synthetic,Ventral Kugel,PH240131941029,,,,PowerPort
INT,SUR,Performance Irrigation and Other Surgery,Performance Irrigation,Laparoscopic,X-Stream,PH240130241013,,,,Purewick device
INT,PI,End Stage Kidney Disease,Dialysis Access Grafts,AV Grafts,Vectra Grafts,PH240112141012,,,,Powerport
INT,UCC,Endourology,Stone Disposables,Percutaneous Drainage,Nephrost Mciver,PH240152141016,,,,Purewick catheter
INT,PI,BD PI Other,Feeding,Feeding,Replacement G-Tubes,PH240111041042,,,,Powerport
INT,SUR,Infection Prevention - Surgical,ChloraPrep,ChloraPrep Surgical,Product Set Lvl: ChloraPrep Surgical,PH230200041700,,,,ChloraPrep
INT,SUR,Hernia,Fixation,Absorbable Fixation,Absorbable Fixation,PH240131941072,,,,PowerPort
INT,PI,End Stage Kidney Disease,Dialysis Access Grafts,AV Grafts,AV Grafts,PH240112141062,,,,Powerport
INT,SUR,Biosurgery,Avitene,Avitene,Avitene,PH240134241017,,,,Purewick catheter
INT,UCC,Endourology,Stone Disposables,Balloons,Balloons,PH240152141258,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,Bardex Ic W/350cc Urine Meter,PH240152141094,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Bardia Strips,Bardia Strips,PH240152141257,,,,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Biopsy - BMD,Biopsy,PH240153141015,,,,PowerPort
INT,PI,Oncology,Brachy,Brachy Equipment,Brachytherapy Equipment,PH240154141049,,,,PowerPort
INT,PI,Oncology,Brachy,Brachy Equipment - Placement,Brachytherapy Equipment - Placement,PH240111041128,,,,PowerPort
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Capturex,Capturex,PH240113741059,,,,Safety LOK (Safety Wingset)
INT,UCC,Total BD UCC Other,Airway,Open Suction Catheters,Cath N Sleeve,PH240154141039,,,,Purewick canister & tubing
INT,PI,Oncology,Catheter Group,Chronic CVC Catheters,Chronic CVC Catheters,PH240111041109,,,,Safety LOK (Safety Wingset)
INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Chronic Dialysis,PH240112141061,,,,Purewick catheter
INT,PI,Peripheral Vascular Disease,Heart,Clearsteam PTCA,Clearsteam PTCA,PH240113741078,,,,Purewick catheter
INT,SUR,Hernia,Ventral,Lap Ventral,Composix LP W/ Echo PS,PH240131941038,,,,Purewick device
INT,PI,Peripheral Vascular Disease,Venous,Cones/Snares,Cones/Snares,PH240113741080,,,,PowerPort
INT,PI,End Stage Kidney Disease,PTA ESKD,Conquest PTA,Conquest/Conquest 40,PH240112141064,,,,Purewick catheter
INT,PI,Oncology,Other Biopsy,CoreLite Capital - Placement,CoreLite Capital - Placement,PH240111041127,,,,Pyxis
INT,UCC,Total Acute Urology,Urological Drainage,Criticore Accessories,Criticore Disp-Urine Collectio,PH240152141069,,,,Purewick canister & tubing
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Crosser Catheters,Crosser Catheters,PH240113741076,,,,Safety LOK (Safety Wingset)
INT,UCC,Endourology,Stone Disposables,Dilation Products,Dilation Products,PH240152141252,,,,Purewick catheter
INT,UCC,Total Acute Urology,Acute Care - PC Adjustment,Acute Care - PC Adjustment,Acute Care - PC Adjustment,PH240152141250,,,"BU confirms, accounting term",
INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,Drain Bags,PH240152141254,,,,Purewick canister & tubing
INT,UCC,Total Acute Urology,Urological Drainage,Urine Meter Bags,Economy Urine Meters,PH240152141234,,,,Purewick catheter
INT,PI,Peripheral Vascular Disease,Stents PVD,E-Luminexx,E-Luminexx,PH240113741075,,,,PowerPort
INT,PI,BD PI Other,BD PI Other - PC Adjustment,BD PI Other - PC Adjustment,BD PI Other - PC Adjustment,PH240110549999,,,"BU confirms, accounting term",
INT,PI,BD PI Other,BD PI Other - PC Adjustment,BD PI Other - PC Adjustment  NONCATALOG,BD PI Other - PC Adjustment  NONCATALOG,PH240110541092,,,"BU confirms, accounting term",
INT,PI,BD PI Other,Feeding,Feeding,Feeding,PH240110541091,,,,Powerport
INT,UCC,Total BD UCC Other,Womens Health,Fiberoptic Systems,Fiberoptic Systems,PH240154141063,,,,PowerPort
INT,PI,BD PI Other,Electrophysiology Products,BEPSupplyAdj Major,BEPSupplyAdj Minor,PH240110541030,,,"BU confirms, accounting term",
INT,PI,Oncology,BIOPSY,Biopsy Adjustment,Biopsy Adjustment,PH240111041013,,,"BU confirms, accounting term",
INT,PI,Oncology,BIOPSY,Bone Adjustment,Bone Adjustment,PH240111041012,,,"BU confirms, accounting term",
INT,PI,Oncology,Brachy,Brokered Equipment,Brokered Equipment,PH240154141061,,,BU cannot confirm volume,
INT,PI,Peripheral Vascular Disease,PTA PVD,Other PTA,Flochec,PH240113741021,,,,PowerPort
INT,PI,Oncology,Other Biopsy,Other Biopsy Capital,Gamma Finders Capital,PH240111041080,,,,Purewick device
INT,SUR,Hernia,Groin Hernia,Groin Open,Groin Hernia,PH240131941069,,,,PowerPort
INT,PI,Peripheral Intervention BU,DO NOT USE - PI Placeholder for data entry error,DO NOT USE - PI Placeholder for data entry error,DO NOT USE - PI Placeholder for data entry error,PH240110041000,,,"BU confirms, accounting term",
INT,SUR,Surgery BU,DO NOT USE - Surgery Placeholder for data entry error,DO NOT USE - Surgery Placeholder for data entry error,DO NOT USE - Surgery Placeholder for data entry error,PH240130041000,,,"BU confirms, accounting term",
INT,UCC,Total BD UCC Other,Airway,Specialty Tubes,Duodenal Tubes,PH240154141043,,,,
INT,PI,Oncology,Vacuum Assisted,EleVation - Capital Service,EleVation - Capital Service,PH240111041122,,,"BU confirms, accounting term",
INT,PI,End Stage Kidney Disease,End Stage Kidney Disease - PC Adjustment,End Stage Kidney Disease - PC Adjustment,End Stage Kidney Disease - PC Adjustment,PH240112149999,,,"BU confirms, accounting term",
INT,UCC,Endourology,Endourology - PC Adjustment,Endourology - PC Adjustment,Endourology - PC Adjustment,PH240152241000,,,"BU confirms, accounting term",
INT,PI,Peripheral Vascular Disease,Venous,Filters,Filters,PH230100041209,,,,
INT,PI,End Stage Kidney Disease,Stents and Stent Grafts ESKD,Flair,Flair,PH240112141040,,,,
INT,SUR,Performance Irrigation and Other Surgery,Surgery Freight & Rebates,Freight,Freight,PH240130241000,,,"BU confirms, accounting term",
INT,PI,Oncology,Other Biopsy,Other Biopsy Capital Service,Gamma Finders Capital Service,PH240111041115,,,BU cannot confirm volume,
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,GPO Fees - Biopsy,PH240111041045,,,"BU confirms, accounting term",
INT,PI,Peripheral Vascular Disease,PAD Mechanical,Crosser Catheters,GPO Fees - CTO,PH240113741013,,,"BU confirms, accounting term",
INT,PI,Peripheral Vascular Disease,Venous,Filters,GPO Fees - Filters,PH240112141034,,,"BU confirms, accounting term",
INT,PI,End Stage Kidney Disease,PTA ESKD,Conquest PTA,GPO Fees - PTA,PH240112141025,,,"BU confirms, accounting term",
INT,PI,End Stage Kidney Disease,Stents and Stent Grafts ESKD,Fluency,GPO Fees - Stent Grafts,PH240112141042,,,"BU confirms, accounting term",
INT,PI,Peripheral Vascular Disease,Stents PVD,Lifestent,GPO Fees - Stents,PH240113741045,,,"BU confirms, accounting term",
INT,PI,Peripheral Vascular Disease,Peripheral Grafts,PV Grafts,GPO Fees - Surgical,PH240113741004,,,"BU confirms, accounting term",
INT,PI,Oncology,Ports,Ports,GPO Fees - VAD,PH240111041020,,,"BU confirms, accounting term",
