SEG,BU,Platform,Product Category,Product Line,Product Set ,Set ID, Act Rev , Act Units ,COMMENTS,"Exemplar Product 
(Use)"
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,Ptfe Prefill (Hosp),PH240152141183, $(14), -   ,,PowerPort
INT,UCC,Total BD UCC Other,UCC Freight & Rebates,Urology and Critical Care - US Rebates,Rebates,PH240154141001," $(6,230)", -   ,"BU confirms, accounting term",
INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Reliavac/Pvc Kits,PH240154141011, $(39), -   ,,Purewick canister & tubing
INT,PI,Oncology,BIOPSY,Soft Tissue Adjustment,Soft Tissue Adjustment,PH240111041011," $(1,040,570)", -   ,"BU confirms, accounting term",
INT,SUR,Surgery BU,DO NOT USE - Surgery Placeholder for data entry error,SUR Unknown Products,SUR Unknown Products,SUR_UNKNOWN_PRODUCT_PS," $2,562 ", -   ,"BU confirms, accounting term",
INT,SUR,Surgery VH Non-Allocated,Surgery VH Non-Allocated - PC Adjustment,Surgery VH Non-Allocated - PC Adjustment,Surgery VH Non-Allocated - PC Adjustment,PH232000049999," $(6,396)", -   ,"BU confirms, accounting term",
INT,SUR,Hernia,Ventral Synthetic Corporate Royalty,Synthetic Royalty,Synthetic Royalties,PH240131941000," $307,744 ", -   ,"BU confirms, accounting term",
INT,UCC,Total Home Care Sales,Urology Home Care,Silicone Hydrophilic Coude,Silicone Hydrophilic Coude,PH240153141061, $-   , -   ,,Purewick catheter
INT,UCC,Targeted Temperature Management,TTM - Non-Sellable,TTM - Non-Sellable,TTM - Non-Sellable,PH240151141116, $-   , -   ,"BU confirms, accounting term",
INT,UCC,Targeted Temperature Management,TTM - PC Adjustment,TTM - PC Adjustment,TTM - PC Adjustment,PH240151141999," $945,023 ", -   ,"BU confirms, accounting term",
INT,UCC,Urology and Critical Care BU,UCC - TIE OUT,UCC - TIE OUT,UCC - TIE OUT,PH240120049998," $(3,924)", -   ,"BU confirms, accounting term",
INT,UCC,Total BD UCC Other,UCC Other,UCC Other,UCC Other,PH240154141079," $(4,340)", -   ,"BU confirms, accounting term",
INT,UCC,Urology and Critical Care BU,DO NOT USE - UCC Placeholder for data entry error,UCC Unknown Products,UCC Unknown Products,UCC_UNKNOWN_PRODUCT_PS," $325,389 ", -   ,"BU confirms, accounting term",
INT,UCC,Urology and Critical Care BU,Urology and Critical Care BU - PC Adjustment,Urology and Critical Care BU - PC Adjustment,Urology and Critical Care BU - PC Adjustment,PH240120049999," $(196,867)", -   ,"BU confirms, accounting term",
INT,PI,Oncology,Vacuum Assisted,Vacora Capital Service,Vacora Capital Service,PH240111041121," $6,370 ", -   ,"BU confirms, accounting term",
INT,UCC,Endourology,Stone Disposables,Stents,Stents,PH240152141253, $38 , -   ,,Purewick catheter
INT,UCC,Endourology,Stone Disposables,Stone Removal,Stone Removal,PH240152141262, $-   , -   ,,Plastipak
INT,SUR,Biosurgery,Surgical Sealants,Surgical Sealants,Surgical Sealants,PH240134241018," $13,942 ", -   ,,PowerPort
INT,UCC,Total BD UCC Other,Womens Health,Surgical Treatments,Surgical Treatment Accessories,PH240154141070, $-   , -   ,,Purewick device
INT,SUR,Infection Prevention - Surgical,Hand Hygiene,Surgicept & Triseptin,Surgicept,PH230200041712, $-   , -   ,,Plastipak
INT,UCC,Total BD UCC Other,Temporary Pacing Electrodes,Temporary Pacing Electrodes,Temporary Pacing Electrodes,PH240154141076," $4,078 ", -   ,,PowerPort
INT,PI,Peripheral Vascular Disease,Heart,True Valvuloplasty,True Valvuloplasty,PH240113741079, $70 , -   ,,Powerport
INT,PI,Oncology,Markers,UltraClip Markers,UltraClip Markers,PH240111041110," $2,659 ", -   ,,Safety LOK (Safety Wingset)
INT,PI,Peripheral Vascular Disease,PTA PVD,Ultraverse,Ultraverse,PH240113741074," $101,095 ", -   ,,Purewick catheter
INT,SUR,Hernia,Ventral,Umbilical Ventral,Umbilical Ventral,PH240131941076," $97,383 ", -   ,,PowerPort
INT,PI,BD PI Other,Peripheral Interventional Other,Angiomed Other,Univ. Adapter & Connectors,PH240110541014, $(11), -   ,,Powerport
INT,UCC,Endourology,Stone Disposables,Ureterals,Ureterals,PH240152141263, $-   , -   ,,Purewick catheter
INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Urology Miscellaneous,PH240152141056, $-   , -   ,,Purewick catheter
INT,UCC,Endourology,Endourology Other,Urology Procedure Trays,Urology Procedure Trays,PH240152141264, $-   , -   ,,Purewick catheter
INT,PI,Oncology,Vacuum Assisted,Vacora Probes,Vacora Probes,PH240111041111," $44,221 ", -   ,,Safety LOK (Safety Wingset)
INT,PI,Peripheral Vascular Disease,Venous,Venovo,Venovo,PH240113741082," $72,708 ", -   ,,PowerPort
INT,PI,End Stage Kidney Disease,Endo AVF,WavelinQ Capital - Placement,WavelinQ Capital - Placement,PH240112141066, $-   , -   ,,Pyxis
INT,SUR,Hernia,Complex Abdominal Wall Reconstruction,Xenograft,Xenograft,PH240131941082," $(7,890)", -   ,,PowerPort
INT,PI,BD PI Other,Peripheral Intervention Freight & Rebates,Peripheral Intervention - US Rebates,Rebates,PH240110541003," $(370,186)", (1),"BU confirms, accounting term",
INT,UCC,Total BD UCC Other,UCC Specialty - PC Adjustment,UCC Specialty - PC Adjustment,UCC Specialty - PC Adjustment,PH240154149999," $(8,963)", (1),"BU confirms, accounting term",
INT,UCC,Urology and Critical Care BU,Urology and Critical Care BU - Non-Sellable,Urology and Critical Care BU - Non-Sellable - NONCATALOG,Urology and Critical Care BU - Non-Sellable - NONCATALOG,PH240120041002, $(16), (1),"BU confirms, accounting term",
INT,PI,BD PI Other,Feeding,Feeding,Peg (Initial and Accessories),PH240111041041," $(2,275)", (2),,Powerport
INT,UCC,Total BD UCC Other,UCC Freight & Rebates,Freight,Freight,PH240154141000," $594,463 ", (2),"BU confirms, accounting term",
INT,UCC,Total Home Care Sales,Urology Home Care,Red Rubber,Bardia Red Rubber,PH240153141039, $(254), (3),,Purewick catheter
INT,PI,BD PI Other,Peripheral Interventional Other,Peripheral Interventional Other,Peripheral Interventional Other,PH240110541089," $(60,464)", (3),neg. rev & vol.,
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,2-Way Hematuria,PH240152141174, $(339), (4),,PowerPort
INT,PI,BD PI Other,Non-Sellable,Non-Sellable,Non-Sellable,PH240110541093, $(420), (4),"BU confirms, accounting term",
INT,PI,BD PI Other,Peripheral Interventional Other,Adjustments PT,Revenue Recognition PT,PH240110541006," $(8,259)", (4),"BU confirms, accounting term",
INT,PI,End Stage Kidney Disease,Other Surgical ESKD,Other Surgical,Adjustments Impra,PH240112141015," $(6,357)", (5),"BU confirms, accounting term",
INT,UCC,Total Home Care Sales,Home Care Sales - Non-Sellable,Home Care Sales - Non-Sellable - NONCATALOG,Home Care Sales - Non-Sellable - NONCATALOG,PH240153141075," $(10,369)", (5),"BU confirms, accounting term",
INT,SUR,Infection Prevention - Surgical,Infection Prevention - Surgical Non-Sellable,Infection Prevention - Surgical Non-Sellable,Infection Prevention - Surgical Non-Sellable,PH230200041696, $(850), (5),"BU confirms, accounting term",
INT,PI,Oncology,IS Sales Adjustments,IS Sales Adjustments,IS Sales Adjustments,PH230400041895," $(3,066)", (5),"BU confirms, accounting term",
INT,PI,BD PI Other,OEM,Cardial Other,Misc Other,PH240110541068," $(7,106)", (5),neg. rev & vol.,
INT,SUR,Plastic & Reconstruction Surgery,Plastic & Reconstruction Surgery Non-Sellable,Plastic & Reconstruction Surgery Non-Sellable,Plastic & Reconstruction Surgery Non-Sellable,PH240132041002, $(329), (6),"BU confirms, accounting term",
INT,SUR,Surgery BU,Surgery BU Non-Sellable,Surgery BU Non-Sellable,Surgery BU Non-Sellable,PH240130041001," $(7,322)", (6),"BU confirms, accounting term",
INT,UCC,Endourology,Endourology - Non-Sellable,Endourology - Non-Sellable - NONCATALOG,Endourology - Non-Sellable - NONCATALOG,PH240152241011, $(746), (9),"BU confirms, accounting term",
INT,UCC,Targeted Temperature Management,TTM - Non-Sellable,TTM - Non-Sellable - NONCATALOG,TTM - Non-Sellable - NONCATALOG,PH240151141117," $15,376 ", (9),"BU confirms, accounting term",
INT,UCC,Total Home Care Sales,Home Care Sales - Non-Sellable,Home Care Sales - Non-Sellable,Home Care Sales - Non-Sellable,PH240153141074," $(24,950)", (10),"BU confirms, accounting term",
INT,UCC,Total Acute Urology,Acute Care - Non-Sellable,Acute Care - Non-Sellable - NONCATALOG,Acute Care - Non-Sellable - NONCATALOG,PH240152141280," $(2,378)", (11),"BU confirms, accounting term",
INT,UCC,Endourology,Endourology - Non-Sellable,Endourology - Non-Sellable,Endourology - Non-Sellable,PH240152241010," $(3,342)", (11),"BU confirms, accounting term",
INT,UCC,Endourology,Visualization,Image Processors,Image Processors,PH240152241002," $41,782 ", (14),Neg. volume,
INT,UCC,Total Acute Urology,Acute Care - Non-Sellable,Acute Care - Non-Sellable,Acute Care - Non-Sellable,PH240152141279," $5,055 ", (16),"BU confirms, accounting term",
INT,SUR,Biosurgery,Biosurgery Non-Sellable,Biosurgery Non-Sellable,Biosurgery Non-Sellable,PH240134241026," $(70,403)", (16),"BU confirms, accounting term",
INT,UCC,Urology and Critical Care BU,Urology and Critical Care BU - Non-Sellable,Urology and Critical Care BU - Non-Sellable,Urology and Critical Care BU - Non-Sellable,PH240120041001," $(6,561)", (16),"BU confirms, accounting term",
INT,UCC,Total Acute Urology,Urological Drainage,Temp Sensing Latex Trays,Temp Mon U/M,PH240152141221, $-   , (20),,Purewick catheter
INT,UCC,Total BD UCC Other,UCC Specialty - Non-Sellable,UCC Specialty - Non-Sellable,UCC Specialty - Non-Sellable,PH240154141080," $(15,028)", (20),"BU confirms, accounting term",
INT,SUR,Hernia,Groin Hernia,Groin Open,Adjustments Davol,PH240131941043," $240,679 ", (27),"BU confirms, accounting term",
INT,UCC,Total Acute Urology,Urological Drainage,Sensica Monitor Accessories,Sensica Accessories,PH240152141067, $413 , (35),,Purewick device
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,5cc Female,PH240152141179, $(389), (44),,PowerPort
INT,PI,BD PI Other,Peripheral Interventional Other,Adjustments PT,Adjustments Peripheral Technol,PH240110541005," $548,680 ", (48),"BU confirms, accounting term",
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,I/C Foley Tray,PH240152141096, $-   , (70),,Purewick catheter
INT,SUR,Hernia,Hernia Non-Sellable,Hernia Non-Sellable,Hernia Non-Sellable,PH240131941087," $(374,548)", (89),"BU confirms, accounting term",
INT,UCC,Total Acute Urology,Urological Drainage,Other Collection Devices,Other Latex Free Tray with Bag,PH240152141189, $(19), (130),,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Sensica Trays,Sensica Add-A-Foley,PH240152141273," $(4,022)", (130),,Purewick catheter
INT,PI,BD PI Other,Peripheral Intervention Freight & Rebates,Peripheral Intervention Freight & Rebates,Peripheral Intervention Freight & Rebates,PH240110541085," $(763,686)", (182),"BU confirms, accounting term",
INT,UCC,Total Acute Urology,Urological Drainage,Temp Sensing Silicone Trays,Temp Mon U/M Silicone Trays,PH240152141223," $(1,574)", (194),,Purewick catheter
INT,SUR,Infection Prevention - Surgical,Other IP,Skin Prep Trays,Skin Prep Trays,PH230200041724, $(976), (200),Neg. volume,
INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,5cc Silic Coated,PH240152141137," $(1,242)", (318),,Purewick catheter
INT,PI,Oncology,Non-Sellable,Non-Sellable,Non-Sellable,PH240111041005," $(1,101,299)", (456),"BU confirms, accounting term",
INT,SUR,Infection Prevention - Surgical,IP Sales Adjustments,IP Sales Adjustments,IP Sales Adjustments,PH230200041714," $(1,516,389)", (605),"BU confirms, accounting term",
LS,IDS,Lab Specimen Management,Tubes - Hematology,PT EDTA,EDTA PLASTIC HEMO,PH210900141075," $158,387,543 "," 2,083,299,538 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT SST,SST II PLASTIC HEMO,PH210900141103," $87,656,342 "," 867,137,766 ",,Vacutainer tubes
LS,IDS,Specimen Acquisition,Other Specimen Acquisition,Single Use Holders,ONE-USE NON-STACK,PH210900441224," $22,768,209 "," 823,604,515 ",,Plastipak
LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT SST,SST PLASTIC HEMO,PH210900141105," $108,521,473 "," 736,325,530 ",,Vacutainer tubes
LS,IDS,Specimen Acquisition,Needles,Safety Needle Eclipse,Eclipse Needles,PH210900441251," $85,997,882 "," 532,853,568 ",,Safety LOK (Safety Wingset)
LS,IDS,Lab Specimen Management,Tubes - Coagulation,PT Citrate,CITRATE PLASTIC HEMO,PH210900141071," $50,468,319 "," 482,846,623 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT PST,PST PLASTIC HEMO,PH210900141092," $75,130,946 "," 379,798,013 ",,Vacutainer tubes
LS,IDS,Specimen Acquisition,Needles,Other Needles,NEEDLES CONVENTIONAL,PH210900441248," $23,951,606 "," 359,726,179 ",,Safety LOK (Safety Wingset)
LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset SLBCS,SLBCS,PH210900441273," $183,396,059 "," 336,259,423 ",,Safety LOK (Safety Wingset)
LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Serum,SERUM PLASTIC HEMO,PH210900141100," $24,157,982 "," 293,667,895 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Urine,Bulk Tubes,BULK TUBES,PH210900141111," $39,996,083 "," 272,427,090 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT SST,SST PLASTIC CONV,PH210900141104," $41,374,296 "," 256,101,603 ",,Vacutainer tubes
LS,IDS,Microbiology,Clinical Media,Plated Media - Clinical,Plated Media,PH211100441166," $73,291,555 "," 184,204,253 ",,Hypak for Antico
LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Heparin,HEPARIN PLASTIC HEMO,PH210900141082," $21,262,461 "," 182,179,177 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Glucose,GLUCOSE PLASTIC HEMO,PH210900141078," $16,797,600 "," 178,034,298 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Microtainer/Lancets,Safety Capillary Lancets,Lancet Cont Activate,PH210900441236," $27,664,219 "," 174,532,329 ",,Hypak for Antico
LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset PBBCS,PBBCS,PH210900441264," $193,652,486 "," 170,222,191 ",,Safety LOK (Safety Wingset)
LS,IDS,Specimen Acquisition,Devices,Conv Direct Access All Other,LUER ADAPTERS,PH210900441213," $21,287,225 "," 140,650,443 ",,Safety LOK (Safety Wingset)
LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT PST,PST II PLASTIC HEMO,PH210900141090," $14,816,633 "," 130,143,601 ",,Vacutainer tubes
LS,IDS,Specimen Acquisition,Devices,Safety Luer Lok Access,LUER-LOK ACCESS DEVICE,PH210900441217," $46,020,512 "," 102,231,984 ",,Safety LOK (Safety Wingset)
LS,IDS,Lab Specimen Management,Microtainer/Lancets,Capillary Microtainer,MICROTAINER NGMBT,PH210900141007," $33,459,526 "," 88,469,862 ",,Hypak for Antico
LS,IDS,Specimen Acquisition,Needles,Needles Flashback,Needles Flashback,PH210900441243," $8,960,539 "," 80,241,096 ",,Safety LOK (Safety Wingset)
LS,IDS,Microbiology,Blood Culture,Blood Culture Reagents,BACTEC Plus,PH211100441225," $210,062,178 "," 72,261,467 ",,BACTEC FX vials
LS,IDS,Microbiology,Other Core Micro,Transport,OEM Swabs,PH211100441176," $58,306,312 "," 70,658,671 ",,Hypak for Antico
LS,IDS,Lab Specimen Management,Urine,Collection Devices,COLLECTION DEVICES,PH210900141113," $22,950,484 "," 68,162,907 ",,Vacutainer tubes
LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset PBBCS UltraTouch,PBBCS UltraTouch,PH210900441268," $75,510,949 "," 68,019,506 ",,Safety LOK (Safety Wingset)
LS,IDS,Specimen Acquisition,Devices,Safety BTD,BTD,PH210900441214," $29,427,101 "," 67,578,812 ",,Hypak for Antico
LS,IDS,Lab Specimen Management,CBP,Molecular PPT,PPT,PH210900241130," $20,154,831 "," 61,917,502 ",,BACTEC FX vials
LS,IDS,Lab Automation,Lab Automation,Lab Automation Consumables,Lab Automation Consumables,PH211146041015," $7,438,635 "," 60,158,788 ",,Vacutainer tubes
LS,IDS,Specimen Acquisition,Needles,Safety Needle Eclipse Pre-Attached,Eclipse Needles Pre-Attached,PH210900441253," $16,176,144 "," 58,235,498 ",,Safety LOK (Safety Wingset)
LS,IDS,Specimen Acquisition,Other Specimen Acquisition,Tourniquets & Swabs,TOURNIQUET NON-LATEX,PH210900441259," $8,204,879 "," 51,171,557 ",,Safety LOK (Safety Wingset)
LS,IDS,Microbiology,Industrial Microbiology,Plated Media - Industrial,Industrial Plates,PH211100441315," $54,738,709 "," 49,755,580 ",,Hypak for Antico
LS,IDS,Cancer,Cytology,SurePath LBC Reagents,SurePath Other,PH211800041021," $34,523,895 "," 46,819,645 ",,Hypak for Antico
LS,IDS,Specimen Acquisition,ABG,ABG Conventional,CC ABG Conventional,PH210900441205," $39,864,550 "," 46,323,029 ",,Hypak for Antico
LS,IDS,Specimen Acquisition,Needles,Eclipse Signal Needle Pre-Attached,Eclipse Signal Needle Pre-Attached,PH210900441242," $10,866,723 "," 41,251,150 ",,Safety LOK (Safety Wingset)
LS,IDS,Lab Specimen Management,Urine,Transfer Straw Kits,TRANSFER STRAW KITS,PH210900141123," $21,806,087 "," 41,101,595 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Serum,PT Serum,PH210900141097," $2,324,899 "," 40,659,900 ",,Vacutainer tubes
LS,IDS,Microbiology,Blood Culture,Blood Culture Reagents,BACTEC Lytic,PH211100441227," $103,717,073 "," 39,834,116 ",,BACTEC FX vials
LS,IDS,Specimen Acquisition,ABG,ABG Safety,Safety Critical Care,PH210900441207," $25,150,559 "," 36,010,450 ",,Plastipak
LS,IDS,Specimen Acquisition,ABG,ABG A-Line,CC ABG A-Line,PH210900541013," $12,899,566 "," 33,601,489 ",,Plastipak
LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,Calibrated Loops,PH211100441306," $2,269,663 "," 32,644,871 ",,Neopak
LS,IDS,Microbiology,ID/AST,Phoenix Reagents,Phoenix Inoculum Broth,PH211100441252," $19,223,857 "," 31,533,682 ",,BACTEC FX vials
LS,IDS,Lab Specimen Management,Urine,Kit Complete,KIT COMPLETE,PH210900141120," $33,224,347 "," 29,754,701 ",,Hypak for Antico
LS,IDS,Microbiology,ID/AST,Misc ID and AST,Phoenix Accessories,PH211100441274," $6,201,242 "," 29,051,873 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Chemistry,Barricor,Plasma Mech Sep,PH210900141025," $5,749,673 "," 26,678,402 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Serum,SERUM PLASTIC CONV,PH210900141099," $2,778,774 "," 26,202,664 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Other,PT Other Plastic Tubes,SPC PLASTIC HEMO,PH210900141088," $6,060,609 "," 26,033,968 ",,Vacutainer tubes
LS,IDS,Microbiology,Clinical Media,Chromagar PM,CHROMagar Media,PH211100441172," $18,602,232 "," 25,836,797 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Microtainer/Lancets,BD Sentry Lancets,Low Cost Lancet,PH210900441233," $1,620,825 "," 23,263,205 ",,Veritor assays
LS,IDS,Molecular Diagnostics,BD COR,BD COR HPV Reagents,BD COR HPV Reagents,PH211800041041," $19,198,162 "," 21,812,523 ",,BACTEC FX vials
LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset SLBCS Pre-Attached,SLBCS Pre-Attached,PH210900441275," $14,160,145 "," 21,451,620 ",,Safety LOK (Safety Wingset)
LS,IDS,Molecular Diagnostics,ProbeTec/Viper,Viper LT HPV Reagents,Viper LT HPV Reagents,PH211800041035," $17,014,748 "," 21,146,082 ",,BACTEC FX vials
LS,IDS,Lab Specimen Management,Tubes - Other,PT Other Plastic Tubes,EST,PH210900141085," $1,523,604 "," 19,548,650 ",,Vacutainer tubes
LS,IDS,Microbiology,TB,TB Reagents,Auto MGIT Tubes - 7 ml,PH211100441203," $62,758,205 "," 16,719,255 ",,BACTEC FX vials
LS,IDS,Lab Specimen Management,Microtainer/Lancets,Microtainer Map,MICROTAINER MAP,PH210900141004," $9,310,052 "," 15,299,410 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Rapid Serum Tube,Rapid Serum Tube,PH210900141095," $9,835,958 "," 14,562,505 ",,Vacutainer tubes
LS,IDS,Microbiology,Blood Culture,Blood Culture Reagents,BACTEC Peds,PH211100441226," $40,317,926 "," 13,578,640 ",,BACTEC FX vials
LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset PBBCS Pre-Attached,PBBCS Pre-Attached,PH210900441266," $18,193,958 "," 13,493,306 ",,Safety LOK (Safety Wingset)
LS,IDS,Microbiology,Clinical Media,Tubed Media - Clinical,Tubed/Bottled Media,PH211100441169," $11,863,481 "," 13,447,725 ",,Vacutainer tubes
LS,IDS,Specimen Acquisition,Other Specimen Acquisition,Reusable Holders,HOLDERS REUSABLE,PH210900441222," $3,435,752 "," 13,245,570 ",,Plastipak
LS,IDS,Lab Specimen Management,Tubes - Other,GT Other Glass Tubes,ACD GLASS CONV,PH210900141039," $4,982,998 "," 12,574,015 ",,Safety LOK (Safety Wingset)
LS,IDS,Molecular Diagnostics,ProbeTec/Viper,Sample Processing/Collection,Viper Sample Prep/Collection,PH211100141069," $4,463,272 "," 11,225,951 ",,Vacutainer tubes
LS,IDS,Specimen Acquisition,Devices,Safety KDL LLAD,Safety KDL LLAD,PH210900441221," $1,434,413 "," 11,136,000 ",,Safety LOK (Safety Wingset)
LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Heparin,HEPARIN PLASTIC CONV,PH210900141081," $2,150,180 "," 9,951,791 ",,Safety LOK (Safety Wingset)
LS,IDS,Specimen Acquisition,Needles,Eclipse Signal Needle,Eclipse Signal Needle,PH210900441239," $2,440,705 "," 9,874,086 ",,Safety LOK (Safety Wingset)
LS,IDS,Lab Specimen Management,Microtainer/Lancets,Safety - Quickheel,Lancet Quikheel,PH210900441234," $9,696,584 "," 8,759,658 ",,Veritor assays
LS,IDS,Lab Specimen Management,Tubes - Chemistry,GT Serum,SERUM GLASS CONV,PH210900141054," $4,046,724 "," 7,766,690 ",,Vacutainer tubes
LS,IDS,Microbiology,ID/AST,Phoenix Reagents,Phoenix AST Panel,PH211100441250," $31,678,152 "," 6,903,038 ",,BACTEC FX vials
LS,IDS,Lab Specimen Management,Tubes - Other,Other Tubes & Kits,SEDITUBES,PH210900141022," $1,209,089 "," 6,892,901 ",,Hypak for Vaccine
LS,IDS,Microbiology,Clinical Media,Plated Media - Clinical,Plated Media Special Plates,PH211100441167," $2,160,296 "," 6,618,200 ",,Vacutainer tubes
LS,IDS,Microbiology,ID/AST,Phoenix Reagents,Phoenix Combo Panel,PH211100441249," $36,952,657 "," 5,832,650 ",,BACTEC FX vials
LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset PBBCS UltraTouch Pre-Attached,PBBCS UltraTouch Pre-Attached,PH210900441278," $6,169,232 "," 5,237,140 ",,Safety LOK (Safety Wingset)
LS,IDS,Microbiology,Other Core Micro,Transport,Culturette,PH211100441174," $2,096,986 "," 4,921,701 ",,Neopak
LS,IDS,Microbiology,Other Core Micro,Anaerobics,Gaspak EZ Pouch,PH211100441181," $10,316,673 "," 4,914,386 ",,Vacutainer tubes
LS,IDS,Microbiology,Blood Culture,Blood Culture Other,Manual Blood Culture,PH211100441230," $3,126,956 "," 4,437,950 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,PAXgene,PAX Blood RNA,Pax Blood RNA,PH210900241134," $40,703,815 "," 4,386,910 ",,Hypak for Antico
LS,IDS,Lab Specimen Management,Tubes - Coagulation,GT Citrate,CITRATE GLASS HEMO,PH210900141027," $540,075 "," 3,547,503 ",,Vacutainer tubes
LS,IDS,Microbiology,Blood Culture,Blood Culture Other,Other Blood Culture,PH211100441231," $1,175,359 "," 3,532,126 ",,BACTEC FX vials
LS,IDS,Specimen Management Other,Specimen Management Other,Specimen Management Other,PLUGGO,PH210900341186," $55,022 "," 3,480,000 ",,Safety LOK (Safety Wingset)
LS,IDS,Molecular Diagnostics,Affirm,Affirm Reagents,Affirm Transport,PH211100141048," $4,765,067 "," 3,342,200 ",,Hypak for Antico
LS,IDS,Microbiology,Other Core Micro,Anaerobics,Gaspak EZ,PH211100441183," $6,364,462 "," 3,330,065 ",,Vacutainer tubes
LS,IDS,Microbiology,Industrial Microbiology,Plated Media - Industrial,Industrial Plates Custom,PH211100441316," $8,122,551 "," 3,126,387 ",,Vacutainer tubes
LS,IDS,Cancer,Cytology,FocalPoint Instr - FPU,FocalPoint FPU,PH211800041037," $2,215,139 "," 3,124,578 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Other,GT Other Glass Tubes,SRD GLASS HEMO,PH210900141049," $425,841 "," 3,101,951 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Chemistry,GT Serum,SERUM GLASS HEMO,PH210900141055," $362,404 "," 2,944,400 ",,Vacutainer tubes
LS,IDS,Microbiology,Blood Culture,Blood Culture Reagents,BACTEC Std,PH211100441224," $6,820,738 "," 2,940,058 ",,BACTEC FX vials
LS,IDS,Microbiology,Other Core Micro,Anaerobics,Supplies,PH211100441179," $1,651,333 "," 2,843,753 ",,Vacutainer tubes
LS,IDS,Molecular Diagnostics,BD COR,HPV Sample Collection,HPV Sample Collection,PH211100141153," $2,562,800 "," 2,701,823 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Hematology,PT EDTA,EDTA PLASTIC CONV,PH210900141074," $257,753 "," 2,686,951 ",,Vacutainer tubes
LS,IDS,Molecular Diagnostics,BD COR,BD COR Other Consumables,BD COR Other Consumables,PH211100141127," $1,955,209 "," 2,624,151 ",,Vacutainer tubes
LS,IDS,Microbiology,Industrial Microbiology,Liquid Media - Industrial,Industrial Bottled Media,PH211100441319," $19,017,525 "," 2,326,073 ",,BACTEC FX vials
LS,IDS,Lab Specimen Management,CBP,Molecular CPT,CPT,PH210900241125," $19,559,721 "," 2,280,665 ",,Vacutainer tubes
LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,RPR,PH211100441303," $3,592,857 "," 2,203,394 ",,Veritor assays
LS,IDS,Molecular Diagnostics,BD MAX,MAX Other Consumables,MAX All Other Consumables,PH211100141100," $2,903,433 "," 2,080,537 ",,Vacutainer tubes
LS,IDS,Microbiology,Other Core Micro,Lab Reagents,Droppers,PH211100441194," $1,694,052 "," 2,055,901 ",,BACTEC FX vials
LS,IDS,Microbiology,ID/AST,Sensi Disc,Sensi Disc Cartridges,PH211100441259," $7,381,159 "," 2,009,877 ",,Vacutainer tubes
LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,Centrifuge - Other,PH211100441301," $2,073,677 "," 1,871,815 ",,Vacutainer tubes
LS,IDS,Lab Specimen Management,Tubes - Chemistry,GT Glucose,GLUCOSE GLASS HEMO,PH210900141034," $305,204 "," 1,732,800 ",,Vacutainer tubes
LS,IDS,Molecular Diagnostics,BD MAX,MAX Other Consumables,MAX Collection Kits,PH211100141150," $2,820,155 "," 1,467,609 ",,Veritor assays
